UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
University of California Riverside,Evergreen Valley College,CS 10B,COMSC 076 (3.00),,,,
University of California Riverside,Evergreen Valley College,MATH 9A; MATH 9B; MATH 9C,MATH 071 (5.00); MATH 072 (5.00),MATH 066 (4.00); MATH 067 (4.00),,,
University of California Riverside,Evergreen Valley College,PHYS 40A,PHYS 004A (5.00),PHYS 007A (4.00),,,
University of California Riverside,Evergreen Valley College,CS 11,COMSC 080 (3.00),,,,
University of California Riverside,Evergreen Valley College,CS 10C,Not Articulated,,,,
University of California Riverside,Evergreen Valley College,CS 61,Not Articulated,,,,
University of California Riverside,Evergreen Valley College,MATH 10A,MATH 073 (5.00),,,,
University of California Riverside,Evergreen Valley College,PHYS 40B,PHYS 004A (5.00); PHYS 004C (5.00),PHYS 007A (4.00); PHYS 007C (4.00),,,
University of California Riverside,Evergreen Valley College,PHYS 40C,PHYS 004B (5.00),PHYS 007B (4.00),,,
University of California Riverside,Evergreen Valley College,EE 20B,Not Articulated,,,,
University of California Riverside,Evergreen Valley College,MATH 31,MATH 079 (3.00),,,,
University of California San Diego,Evergreen Valley College,CSE 8A,COMSC 075 (3.00),,,,
University of California San Diego,Evergreen Valley College,CSE 8B,COMSC 076 (3.00),,,,
University of California San Diego,Evergreen Valley College,CSE 11,CIT 044 (3.00),,,,
University of California San Diego,Evergreen Valley College,CSE 12,Not Articulated,,,,
University of California San Diego,Evergreen Valley College,CSE 15L,Not Articulated,,,,
University of California San Diego,Evergreen Valley College,CSE 20,COMSC 080 (3.00),MATH 070 (4.00),,,
University of California San Diego,Evergreen Valley College,CSE 21,Not Articulated,,,,
University of California San Diego,Evergreen Valley College,CSE 30,COMSC 077 (3.00),,,,
University of California San Diego,Evergreen Valley College,MATH 18,MATH 079 (3.00),,,,
University of California San Diego,Evergreen Valley College,MATH 20A,MATH 071 (5.00),MATH 066 (4.00),,,
University of California San Diego,Evergreen Valley College,MATH 20B,MATH 072 (5.00),MATH 067 (4.00),,,
University of California San Diego,Evergreen Valley College,MATH 20C,MATH 073 (5.00),,,,
University of California San Diego,Evergreen Valley College,BILD 1,BIOL 004A (5.00); BIOL 004B (5.00),,,,
University of California San Diego,Evergreen Valley College,BILD 2,BIOL 004A (5.00); BIOL 004B (5.00),,,,
University of California San Diego,Evergreen Valley College,BILD 3,BIOL 004A (5.00); BIOL 004B (5.00),,,,
University of California San Diego,Evergreen Valley College,CHEM 6A,CHEM 001A (5.00),,,,
University of California San Diego,Evergreen Valley College,CHEM 6B,CHEM 001A (5.00); CHEM 001B (5.00),,,,
University of California San Diego,Evergreen Valley College,PHYS 2A,PHYS 004A (5.00),PHYS 007A (4.00),,,
University of California San Diego,Evergreen Valley College,PHYS 2B,PHYS 004B (5.00),PHYS 007B (4.00),,,
